program, blocksize, inputsize, outputsize, speed, time
standaard compression,1028,198794280,87665464,51360253,3.871
standaard decompression,1028,87665464,198794280,48501977,4.099
specifiek compression,1028,198794280,58111181,57184376,3.476
specifiek decompression,1028,58111181,198794280,97701433,2.035
standaard compression,2048,198794280,86084877,64166328,3.098
standaard decompression,2048,86084877,198794280,55391469,3.589
specifiek compression,2048,198794280,57422943,64086109,3.102
specifiek decompression,2048,57422943,198794280,109652136,1.813
standaard compression,3076,198794280,85592347,67896818,2.928
standaard decompression,3076,85592347,198794280,57731940,3.443
specifiek compression,3076,198794280,57188009,66493986,2.990
specifiek decompression,3076,57188009,198794280,113744078,1.748
standaard compression,4096,198794280,85387080,72230991,2.752
standaard decompression,4096,85387080,198794280,59512367,3.340
specifiek compression,4096,198794280,57069650,67337422,2.952
specifiek decompression,4096,57069650,198794280,113973364,1.744
standaard compression,6144,198794280,85228461,74250749,2.677
standaard decompression,6144,85228461,198794280,59791457,3.325
specifiek compression,6144,198794280,56971703,70873422,2.805
specifiek decompression,6144,56971703,198794280,120977536,1.643
standaard compression,8192,198794280,85172712,77814690,2.555
standaard decompression,8192,85172712,198794280,62044997,3.204
specifiek compression,8192,198794280,56907274,48430820,4.105
specifiek decompression,8192,56907274,198794280,122901650,1.618
standaard compression,12288,198794280,85127920,77814081,2.555
standaard decompression,12288,85127920,198794280,62460087,3.183
specifiek compression,12288,198794280,56853792,72341309,2.748
specifiek decompression,12288,56853792,198794280,122953492,1.617
standaard compression,16384,198794280,85119827,81431748,2.441
standaard decompression,16384,85119827,198794280,63192488,3.146
specifiek compression,16384,198794280,56826575,70831326,2.807
specifiek decompression,16384,56826575,198794280,126482959,1.572
standaard compression,24576,198794280,85125295,80658055,2.465
standaard decompression,24576,85125295,198794280,64358108,3.089
specifiek compression,24576,198794280,56795212,70183923,2.832
specifiek decompression,24576,56795212,198794280,128144748,1.551
standaard compression,32768,198794280,85152886,84031834,2.366
standaard decompression,32768,85152886,198794280,64384830,3.088
specifiek compression,32768,198794280,56782233,71802530,2.769
specifiek decompression,32768,56782233,198794280,128600683,1.546
standaard compression,49152,198794280,85217093,82679886,2.404
standaard decompression,49152,85217093,198794280,63455500,3.133
specifiek compression,49152,198794280,56767830,73757324,2.695
specifiek decompression,49152,56767830,198794280,129456819,1.536
