program, blocksize, inputsize, outputsize, speed, time
standaard compression,32767,54001,30586,24291947,0.002
standaard decompression,32767,30586,54001,20563975,0.003
standaard compression,32767,270001,152313,29066745,0.009
standaard decompression,32767,152313,270001,26099661,0.010
standaard compression,32767,540001,304500,36195522,0.015
standaard decompression,32767,304500,540001,33003361,0.016
standaard compression,32767,2700001,1521915,51130572,0.053
standaard decompression,32767,1521915,2700001,54960733,0.049
standaard compression,32767,5400001,3043704,78179305,0.069
standaard decompression,32767,3043704,5400001,66373325,0.081
standaard compression,32767,27000001,15217900,78848234,0.342
standaard decompression,32767,15217900,27000001,66506069,0.406
standaard compression,32767,54000001,30435634,79066779,0.683
standaard decompression,32767,30435634,54000001,66405718,0.813
standaard compression,32767,270000001,152177508,78908445,3.422
standaard decompression,32767,152177508,270000001,67533091,3.998
standaard compression,32767,540000001,304354851,76840096,7.028
standaard decompression,32767,304354851,540000001,65310206,8.268
standaard compression,32767,2700000001,1521773594,74500916,36.241
standaard decompression,32767,1521773594,2700000001,59967766,45.024
