program, blocksize, inputsize, outputsize, speed, time
standaard compression,32767,19872,8882,19872000,0.001
standaard decompression,32767,8882,19872,18131386,0.001
standaard compression,32767,99358,43772,24581395,0.004
standaard decompression,32767,43772,99358,18124407,0.005
standaard compression,32767,198785,87213,37513681,0.005
standaard decompression,32767,87213,198785,33081211,0.006
standaard compression,32767,993980,432988,47780608,0.021
standaard decompression,32767,432988,993980,47318861,0.021
standaard compression,32767,1987832,864506,51938233,0.038
standaard decompression,32767,864506,1987832,49648633,0.040
standaard compression,32767,9939789,4296990,83208091,0.119
standaard decompression,32767,4296990,9939789,61780797,0.161
standaard compression,32767,19879307,8580361,83580932,0.238
standaard decompression,32767,8580361,19879307,62196109,0.320
standaard compression,32767,99397118,42678522,83025557,1.197
standaard decompression,32767,42678522,99397118,63856996,1.557
standaard compression,32767,198794280,85152584,80119570,2.481
standaard decompression,32767,85152584,198794280,63165783,3.147
standaard compression,32767,993973974,423983207,78177216,12.714
standaard decompression,32767,423983207,993973974,63900333,15.555
