program blocksize inputsize outputsize ratio speed time
specifiek_compression 1028 198797135 58110867 3.421 54.562 3.47475
specifiek_compression 2048 198797135 57422882 3.462 61.385 3.08850
specifiek_compression 3076 198797135 57187547 3.476 62.867 3.01571
specifiek_compression 4096 198797135 57069201 3.483 64.371 2.94521
specifiek_compression 6144 198797135 56971156 3.489 67.303 2.81695
specifiek_compression 8192 198797135 56906667 3.493 66.477 2.85194
specifiek_compression 12288 198797135 56853244 3.497 69.059 2.74532
specifiek_compression 16384 198797135 56825961 3.498 67.796 2.79643
specifiek_compression 24576 198797135 56794645 3.500 69.971 2.70953
specifiek_compression 32768 198797135 56781623 3.501 68.351 2.77376
specifiek_compression 49152 198797135 56767271 3.502 70.468 2.69040
