program blocksize inputsize outputsize ratio speed time
specifiek_decompression 1028 58110867 198797135 0.292 42085991 4.72359
specifiek_decompression 2048 57422882 198797135 0.289 53429418 3.72074
specifiek_decompression 3076 57187547 198797135 0.288 61058200 3.25586
specifiek_decompression 4096 57069201 198797135 0.287 70031220 2.83869
specifiek_decompression 6144 56971156 198797135 0.287 91607952 2.17009
specifiek_decompression 8192 56906667 198797135 0.286 115529219 1.72075
specifiek_decompression 12288 56853244 198797135 0.286 123554604 1.60898
specifiek_decompression 16384 56825961 198797135 0.286 124966846 1.59080
specifiek_decompression 24576 56794645 198797135 0.286 125831085 1.57987
specifiek_decompression 32768 56781623 198797135 0.286 126626814 1.56994
specifiek_decompression 49152 56767271 198797135 0.286 128495051 1.54712
