program blocksize inputsize outputsize ratio speed time
standaard_compression 1028 198797135 87666299 2.268 25595125 7.76699
standaard_compression 2048 198797135 86085430 2.309 36649058 5.42434
standaard_compression 3076 198797135 85592185 2.323 45943325 4.32701
standaard_compression 4096 198797135 85387251 2.328 52815237 3.76401
standaard_compression 6144 198797135 85229724 2.332 71196547 2.79223
standaard_compression 8192 198797135 85173810 2.334 78029428 2.54772
standaard_compression 12288 198797135 85129930 2.335 77585455 2.56230
standaard_compression 16384 198797135 85122697 2.335 81002132 2.45422
standaard_compression 24576 198797135 85127458 2.335 79544658 2.49919
standaard_compression 32768 198797135 85153881 2.335 84307342 2.35800
standaard_compression 49152 198797135 85219944 2.333 82482037 2.41019
