program, blocksize, inputsize, outputsize, speed, time
standaard decompression,1028,87665464,198794280,45751370,4.345
standaard decompression,2048,86084877,198794280,53257088,3.733
standaard decompression,3076,85592347,198794280,55329601,3.593
standaard decompression,4096,85387080,198794280,58307223,3.409
standaard decompression,6144,85228461,198794280,59005999,3.369
standaard decompression,8192,85172712,198794280,61415589,3.237
standaard decompression,12288,85127920,198794280,62908069,3.160
standaard decompression,16384,85119827,198794280,61892874,3.212
standaard decompression,24576,85125295,198794280,62843219,3.163
standaard decompression,32768,85152886,198794280,64317026,3.091
standaard decompression,49152,85217093,198794280,63735031,3.119
