program blocksize inputsize outputsize ratio speed time
specifiek_compression 32767 13486 4384 3.076 28.581 0.00045
specifiek_compression 32767 27481 8753 3.140 56.483 0.00046
specifiek_compression 32767 41478 13137 3.157 58.689 0.00067
specifiek_compression 32767 69936 21887 3.195 59.925 0.00111
specifiek_compression 32767 144821 43754 3.310 62.466 0.00221
specifiek_compression 32767 294889 87486 3.371 64.340 0.00437
specifiek_compression 32767 444840 131235 3.390 30.357 0.01397
specifiek_compression 32767 748150 218692 3.421 36.077 0.01978
specifiek_compression 32767 1548508 437420 3.540 65.696 0.02248
specifiek_compression 32767 3148449 874796 3.599 66.485 0.04516
specifiek_compression 32767 4748338 1312318 3.618 66.851 0.06774
specifiek_compression 32767 7981926 2187143 3.649 66.611 0.11428
specifiek_compression 32767 16482507 4374548 3.768 67.498 0.23288
specifiek_compression 32767 33483768 8749282 3.827 67.760 0.47126
specifiek_compression 32767 50482683 13124063 3.847 68.239 0.70552
specifiek_compression 32767 84822930 21873373 3.878 66.350 1.21919
specifiek_compression 32767 174827379 43748511 3.996 70.779 2.35561
specifiek_compression 32767 354824665 87498522 4.055 73.265 4.61869
specifiek_compression 32767 534826864 131248536 4.075 73.675 6.92303
specifiek_compression 32767 898263603 218757774 4.106 73.354 11.67838
