program blocksize inputsize outputsize ratio speed time
specifiek_decompression 32767 4384 13486 0.325 40.959 0.00031
specifiek_decompression 32767 8753 27481 0.319 85.928 0.00030
specifiek_decompression 32767 13137 41478 0.317 86.557 0.00046
specifiek_decompression 32767 21887 69936 0.313 95.144 0.00070
specifiek_decompression 32767 43754 144821 0.302 98.863 0.00140
specifiek_decompression 32767 87486 294889 0.297 104.159 0.00270
specifiek_decompression 32767 131235 444840 0.295 52.647 0.00806
specifiek_decompression 32767 218692 748150 0.292 65.488 0.01090
specifiek_decompression 32767 437420 1548508 0.282 106.365 0.01388
specifiek_decompression 32767 874796 3148449 0.278 108.636 0.02764
specifiek_decompression 32767 1312318 4748338 0.276 108.052 0.04191
specifiek_decompression 32767 2187143 7981926 0.274 109.230 0.06969
specifiek_decompression 32767 4374548 16482507 0.265 111.689 0.14074
specifiek_decompression 32767 8749282 33483768 0.261 112.674 0.28341
specifiek_decompression 32767 13124063 50482683 0.260 113.391 0.42458
specifiek_decompression 32767 21873373 84822930 0.258 116.821 0.69246
specifiek_decompression 32767 43748511 174827379 0.250 119.342 1.39707
specifiek_decompression 32767 87498522 354824665 0.247 120.293 2.81304
specifiek_decompression 32767 131248536 534826864 0.245 120.438 4.23497
specifiek_decompression 32767 218757774 898263603 0.244 117.206 7.30894
