program blocksize inputsize outputsize ratio speed time
standaard_compression 32767 13486 6079 2.218 26.088 0.00049
standaard_compression 32767 27481 12306 2.233 52.000 0.00050
standaard_compression 32767 41478 18601 2.230 64.847 0.00061
standaard_compression 32767 69936 31021 2.254 68.547 0.00097
standaard_compression 32767 144821 63607 2.277 73.778 0.00187
standaard_compression 32767 294889 129069 2.285 75.844 0.00371
standaard_compression 32767 444840 194216 2.290 26.539 0.01598
standaard_compression 32767 748150 325831 2.296 28.336 0.02518
standaard_compression 32767 1548508 670939 2.308 68.205 0.02165
standaard_compression 32767 3148449 1361115 2.313 78.742 0.03813
standaard_compression 32767 4748338 2051367 2.315 61.114 0.07410
standaard_compression 32767 7981926 3443205 2.318 45.353 0.16784
standaard_compression 32767 16482507 7079691 2.328 79.475 0.19778
standaard_compression 32767 33483768 14354661 2.333 69.285 0.46089
standaard_compression 32767 50482683 21626429 2.334 67.730 0.71082
standaard_compression 32767 84822930 36296723 2.337 78.422 1.03151
standaard_compression 32767 174827379 74531293 2.346 78.752 2.11714
standaard_compression 32767 354824665 150998721 2.350 78.205 4.32693
standaard_compression 32767 534826864 227465781 2.351 78.657 6.48448
standaard_compression 32767 898263603 381732962 2.353 77.879 10.99973
