program blocksize inputsize outputsize ratio speed time
standaard_decompression 32767 6079 13486 0.451 24.973 0.00052
standaard_decompression 32767 12306 27481 0.448 46.800 0.00056
standaard_decompression 32767 18601 41478 0.448 49.945 0.00079
standaard_decompression 32767 31021 69936 0.444 51.702 0.00129
standaard_decompression 32767 63607 144821 0.439 53.761 0.00257
standaard_decompression 32767 129069 294889 0.438 54.820 0.00513
standaard_decompression 32767 194216 444840 0.437 21.913 0.01936
standaard_decompression 32767 325831 748150 0.436 26.441 0.02698
standaard_decompression 32767 670939 1548508 0.433 56.568 0.02611
standaard_decompression 32767 1361115 3148449 0.432 57.484 0.05223
standaard_decompression 32767 2051367 4748338 0.432 57.178 0.07920
standaard_decompression 32767 3443205 7981926 0.431 56.905 0.13377
standaard_decompression 32767 7079691 16482507 0.430 59.201 0.26552
standaard_decompression 32767 14354661 33483768 0.429 59.653 0.53530
standaard_decompression 32767 21626429 50482683 0.428 60.020 0.80213
standaard_decompression 32767 36296723 84822930 0.428 61.321 1.31918
standaard_decompression 32767 74531293 174827379 0.426 61.496 2.71119
standaard_decompression 32767 150998721 354824665 0.426 60.455 5.59733
standaard_decompression 32767 227465781 534826864 0.425 62.646 8.14180
standaard_decompression 32767 381732962 898263603 0.425 59.170 14.47779
