program blocksize inputsize outputsize ratio speed time
specifiek_compression 32767 19885 7354 2.704 55.288 0.00034
specifiek_compression 32767 39758 14645 2.715 57.711 0.00066
specifiek_compression 32767 59640 21895 2.724 59.124 0.00096
specifiek_compression 32767 99395 36203 2.745 61.393 0.00154
specifiek_compression 32767 198777 71171 2.793 62.317 0.00304
specifiek_compression 32767 397573 138353 2.874 62.681 0.00605
specifiek_compression 32767 596288 203362 2.932 51.519 0.01104
specifiek_compression 32767 993893 329469 3.017 64.396 0.01472
specifiek_compression 32767 1988005 641449 3.099 65.732 0.02884
specifiek_compression 32767 3975766 1271374 3.127 66.165 0.05731
specifiek_compression 32767 5963852 1903023 3.134 66.495 0.08553
specifiek_compression 32767 9940044 3160382 3.145 66.687 0.14215
specifiek_compression 32767 19879403 6266527 3.172 66.904 0.28337
specifiek_compression 32767 39758344 12331402 3.224 67.215 0.56411
specifiek_compression 32767 59637272 18230940 3.271 67.200 0.84635
specifiek_compression 32767 99398435 29637770 3.354 67.170 1.41125
specifiek_compression 32767 198797135 56781623 3.501 68.474 2.76876
specifiek_compression 32767 397590135 109246109 3.639 69.141 5.48401
specifiek_compression 32767 596384447 161804190 3.686 70.088 8.11484
specifiek_compression 32767 993977317 267945357 3.710 68.908 13.75654
