program blocksize inputsize outputsize speed time
specifiek_decompression 32767 7360 19872 27561719 0.00072
specifiek_decompression 32767 36174 99358 33933743 0.00293
specifiek_decompression 32767 71170 198785 50788196 0.00391
specifiek_decompression 32767 329566 993980 92163189 0.01078
specifiek_decompression 32767 641464 1987832 124628965 0.01595
specifiek_decompression 32767 3160587 9939789 125096454 0.07946
specifiek_decompression 32767 6266121 19879307 124844924 0.15923
specifiek_decompression 32767 29639765 99397118 123265970 0.80636
specifiek_decompression 32767 56782159 198794280 124773750 1.59324
specifiek_decompression 32767 267948293 993973974 127184778 7.81520
