program blocksize inputsize outputsize speed time
standaard_compression 32767 19872 8882 61333333 0.00032
standaard_compression 32767 99358 43772 24394303 0.00407
standaard_compression 32767 198785 87213 26891910 0.00739
standaard_compression 32767 993980 432988 41283382 0.02408
standaard_compression 32767 1987832 864506 68695165 0.02894
standaard_compression 32767 9939789 4296990 83631651 0.11885
standaard_compression 32767 19879307 8580361 83207305 0.23891
standaard_compression 32767 99397118 42678522 83068993 1.19656
standaard_compression 32767 198794280 85152584 82391016 2.41282
standaard_compression 32767 993973974 423983207 82140520 12.10090
