program blocksize inputsize outputsize speed time
standaard_decompression 32767 8882 19872 47654676 0.00042
standaard_decompression 32767 43772 99358 17729835 0.00560
standaard_decompression 32767 87213 198785 20893945 0.00951
standaard_decompression 32767 432988 993980 34731472 0.02862
standaard_decompression 32767 864506 1987832 55329751 0.03593
standaard_decompression 32767 4296990 9939789 57650038 0.17242
standaard_decompression 32767 8580361 19879307 61289299 0.32435
standaard_decompression 32767 42678522 99397118 62603129 1.58773
standaard_decompression 32767 85152584 198794280 63481174 3.13155
standaard_decompression 32767 423983207 993973974 64312939 15.45527
standaard_decompression 32767 8894 19885 0.447 14072894 0.00141
standaard_decompression 32767 17738 39758 0.446 20462171 0.00194
standaard_decompression 32767 26527 59640 0.445 34654270 0.00172
standaard_decompression 32767 43771 99395 0.440 55097006 0.00180
standaard_decompression 32767 87232 198777 0.439 56310764 0.00353
standaard_decompression 32767 174117 397573 0.438 57502603 0.00691
standaard_decompression 32767 260364 596288 0.437 57802248 0.01032
standaard_decompression 32767 432866 993893 0.436 41202760 0.02412
standaard_decompression 32767 864597 1988005 0.435 58895126 0.03376
standaard_decompression 32767 1726932 3975766 0.434 59732061 0.06656
standaard_decompression 32767 2585567 5963852 0.434 60110386 0.09921
standaard_decompression 32767 4296883 9940044 0.432 60604111 0.16402
standaard_decompression 32767 8580040 19879403 0.432 61180759 0.32493
standaard_decompression 32767 17141793 39758344 0.431 62031013 0.64094
standaard_decompression 32767 25672050 59637272 0.430 62492884 0.95430
standaard_decompression 32767 42678376 99398435 0.429 60986883 1.62983
standaard_decompression 32767 85155028 198797135 0.428 63269580 3.14207
standaard_decompression 32767 170041287 397590135 0.428 64207659 6.19225
standaard_decompression 32767 254796916 596384447 0.427 60991267 9.77819
standaard_decompression 32767 423978459 993977317 0.427 57555822 17.26980
